timestamp,open,high,low,close,volume
2024-01-01T00:00:00Z,150.25,152.50,149.75,151.80,1000000
2024-01-01T01:00:00Z,151.80,153.00,151.20,152.40,850000
2024-01-01T02:00:00Z,152.40,154.25,152.00,153.80,1200000
2024-01-01T03:00:00Z,153.80,155.00,153.20,154.50,950000
2024-01-01T04:00:00Z,154.50,156.00,154.00,155.75,1100000
2024-01-01T05:00:00Z,155.75,157.50,155.20,156.90,1300000
2024-01-01T06:00:00Z,156.90,158.00,156.50,157.60,1150000
2024-01-01T07:00:00Z,157.60,159.25,157.10,158.80,1400000
2024-01-01T08:00:00Z,158.80,160.00,158.20,159.50,1250000
2024-01-01T09:00:00Z,159.50,161.00,159.00,160.40,1500000
